Team,Player,Opponent,Position,Champion,Kills,Deaths,Assists,Creep Score,Gold Earned,Champion Damage Share,Kill Participation,Wards Placed,Wards Destroyed,Ward Interactions,Dragons For,Dragons Against,Barons For,Barons Against,Result
UOL,Boss,GS,Top,Camille,4,5,3,188,11107,0.17,0.78,8,8,16,0,4,0,1,L
GS,Crazy,UOL,Top,Gwen,3,1,9,217,12201,0.2,0.52,10,7,17,4,0,1,0,W
UOL,Ahahacik,GS,Jungle,Trundle,2,4,5,156,9048,0.15,0.78,8,14,22,0,4,0,1,L
GS,Mojito,UOL,Jungle,Talon,5,4,10,194,11234,0.23,0.65,12,8,20,4,0,1,0,W
UOL,Nomanz,GS,Mid,Leblanc,1,3,4,216,9245,0.29,0.56,6,9,15,0,4,0,1,L
GS,Bolulu,UOL,Mid,Twisted Fate,5,0,13,205,12737,0.25,0.78,17,1,18,4,0,1,0,W
UOL,Argonavt,GS,Adc,Ezreal,1,5,3,202,9539,0.32,0.44,7,2,9,0,4,0,1,L
GS,Alive,UOL,Adc,Miss Fortune,9,2,5,273,15085,0.27,0.61,15,5,20,4,0,1,0,W
UOL,Santas,GS,Support,Amumu,1,6,4,41,6328,0.07,0.56,40,10,50,0,4,0,1,L
GS,Zergsting,UOL,Support,Rakan,0,2,16,42,7395,0.05,0.7,36,6,42,4,0,1,0,W
DFM,Evi,C9,Top,Gnar,1,4,2,191,8931,0.23,0.75,10,4,14,0,4,0,1,L
C9,Fudge,DFM,Top,Irelia,1,2,4,263,11834,0.18,0.38,14,4,18,4,0,1,0,W
DFM,Steal,C9,Jungle,Xin Zhao,1,3,1,156,8420,0.19,0.5,11,10,21,0,4,0,1,L
C9,Blaber,DFM,Jungle,Qiyana,0,1,5,182,9464,0.1,0.38,11,14,25,4,0,1,0,W
DFM,Aria,C9,Mid,Leblanc,1,2,0,219,9378,0.27,0.25,9,6,15,0,4,0,1,L
C9,Perkz,DFM,Mid,Sylas,8,0,2,253,13774,0.41,0.77,10,4,14,4,0,1,0,W
DFM,Yutapon,C9,Adc,Jhin,1,0,1,303,11579,0.24,0.5,8,3,11,0,4,0,1,L
C9,Zven,DFM,Adc,Miss Fortune,3,0,6,299,13145,0.22,0.69,13,9,22,4,0,1,0,W
DFM,Gaeng,C9,Support,Alistar,0,4,2,27,5451,0.08,0.5,45,6,51,0,4,0,1,L
C9,Bulcan,DFM,Support,Leona,1,1,9,30,7332,0.09,0.77,49,8,57,4,0,1,0,W
GS,Crazy,BYG,Top,Kennen,6,3,8,234,14529,0.31,0.82,7,14,21,2,3,1,0,W
BYG,Pk,GS,Top,Jarvan,1,6,2,189,9150,0.16,0.33,13,12,25,3,2,0,1,L
GS,Mojito,BYG,Jungle,Qiyana,5,2,9,204,12685,0.23,0.82,13,10,23,2,3,1,0,W
BYG,Husha,GS,Jungle,Xin Zhao,3,3,2,177,10050,0.2,0.56,13,16,29,3,2,0,1,L
GS,Bolulu,BYG,Mid,Ryze,0,2,7,285,12463,0.12,0.41,16,2,18,2,3,1,0,W
BYG,Maoan,GS,Mid,Orianna,2,4,3,287,12444,0.16,0.56,18,7,25,3,2,0,1,L
GS,Alive,BYG,Adc,Miss Fortune,5,2,5,349,15344,0.24,0.59,16,18,34,2,3,1,0,W
BYG,Doggo,GS,Adc,Ezreal,3,2,1,382,14682,0.41,0.44,14,8,22,3,2,0,1,L
GS,Zergsting,BYG,Support,Bard,1,0,10,22,8568,0.1,0.65,61,19,80,2,3,1,0,W
BYG,Kino,GS,Support,Braum,0,2,5,39,7154,0.08,0.56,60,14,74,3,2,0,1,L
UOL,Boss,DFM,Top,Jayce,4,4,3,267,14533,0.28,1,12,9,21,1,4,0,2,L
DFM,Evi,UOL,Top,Gnar,1,2,8,239,11883,0.13,0.47,15,7,22,4,1,2,0,W
UOL,Ahahacik,DFM,Jungle,Lee Sin,0,2,3,178,10182,0.11,0.43,21,12,33,1,4,0,2,L
DFM,Steal,UOL,Jungle,Talon,6,1,5,209,12984,0.18,0.58,15,18,33,4,1,2,0,W
UOL,Nomanz,DFM,Mid,Orianna,1,6,4,294,12248,0.35,0.71,14,5,19,1,4,0,2,L
DFM,Aria,UOL,Mid,Leblanc,4,0,7,298,15251,0.36,0.58,6,10,16,4,1,2,0,W
UOL,Argonavt,DFM,Adc,Lucian,2,4,2,284,12808,0.21,0.57,13,3,16,1,4,0,2,L
DFM,Yutapon,UOL,Adc,Miss Fortune,7,1,6,355,17214,0.27,0.68,13,22,35,4,1,2,0,W
UOL,Santas,DFM,Support,Rakan,0,3,6,36,7139,0.05,0.86,56,13,69,1,4,0,2,L
DFM,Gaeng,UOL,Support,Leona,1,3,12,32,8700,0.06,0.68,67,9,76,4,1,2,0,W
HLE,Morgan,INF,Top,Renekton,5,2,0,287,14052,0.21,0.42,12,11,23,3,1,1,0,W
INF,Buggax,HLE,Top,Graves,3,2,3,268,12028,0.46,0.75,13,3,16,1,3,0,1,L
HLE,Willer,INF,Jungle,Lee Sin,1,2,3,178,10013,0.09,0.33,16,8,24,3,1,1,0,W
INF,Solidsnake,HLE,Jungle,Xin Zhao,2,3,3,177,9721,0.11,0.63,10,19,29,1,3,0,1,L
HLE,Chovy,INF,Mid,Azir,1,2,1,295,13344,0.22,0.17,16,12,28,3,1,1,0,W
INF,Cody,HLE,Mid,Zoe,2,3,2,224,10242,0.24,0.5,18,4,22,1,3,0,1,L
HLE,Deft,INF,Adc,Ezreal,4,1,6,296,14853,0.43,0.83,15,12,27,3,1,1,0,W
INF,Whitelotus,HLE,Adc,Miss Fortune,1,1,4,312,11875,0.13,0.63,19,10,29,1,3,0,1,L
HLE,Vsta,INF,Support,Leona,1,1,5,37,7498,0.06,0.5,50,12,62,3,1,1,0,W
INF,Ackerman,HLE,Support,Amumu,0,3,4,35,6137,0.06,0.5,47,12,59,1,3,0,1,L
LNG,Ale,PCE,Top,Fiora,8,1,2,235,13180,0.24,0.67,5,4,9,2,1,0,0,W
PCE,Vizicsacsi,LNG,Top,Gangplank,2,3,1,189,8931,0.3,0.6,13,2,15,1,2,0,0,L
LNG,Tarzan,PCE,Jungle,Qiyana,4,2,5,162,9533,0.17,0.6,6,14,20,2,1,0,0,W
PCE,Babip,LNG,Jungle,Zed,1,5,3,116,6557,0.18,0.8,4,5,9,1,2,0,0,L
LNG,Icon,PCE,Mid,Leblanc,2,1,9,230,10241,0.41,0.73,5,5,10,2,1,0,0,W
PCE,Tally,LNG,Mid,Galio,0,2,4,177,7300,0.2,0.8,14,2,16,1,2,0,0,L
LNG,Light,PCE,Adc,Aphelios,1,0,3,233,10206,0.13,0.27,12,12,24,2,1,0,0,W
PCE,Violet,LNG,Adc,Miss Fortune,2,2,2,207,8409,0.26,0.8,12,8,20,1,2,0,0,L
